flow_id,flow_name,scope,n_actions,terminal_techniques,terminal_tactics,reaches_exfiltration,reaches_impact,stated_objective,attribution,metadata_confidence,source_used,notes
revil,REvil,malware,25,T1041;T1083;T1486,discovery;exfiltration;impact,true,true,double_extortion,G0115,high,ctid_blurb+attack_group:G0115,REvil/Sodinokibi RaaS — established double-extortion operator; flow reaches both exfil and impact terminals
searchawesome_adware,SearchAwesome Adware,malware,11,T1070,stealth,false,false,position_for_future,unknown,high,ctid_blurb+ctid_flow_narrative+vendor:malwarebytes+marc_ruling_2026-08-17,"Marc's ruling 2026-08-17: by systematic elimination — no exfiltration action (Malwarebytes: doesn't directly exfiltrate user data), no impact-tactic action, so not both — the flow realises neither objective tactic and lands in the residual class. Was impediment (low). Note: the only residual member there by elimination rather than pre-payload structure (ad injection is realised, but is not an objective tactic)"
shamoon,Shamoon,malware,23,T1018;T1529;T1570,discovery;impact;lateral-movement,false,true,impediment,unknown,high,ctid_blurb+vendor:mcafee.com,Disk-wiping malware family (McAfee article: 'Shamoon returns to wipe systems'); reaches impact structurally
solarwinds,SolarWinds,incident,33,T1003;T1053;T1063;T1078;T1482;T1497;T1555;T1558;T1567;T1568,command-and-control;credential-access;discovery;exfiltration;persistence,true,false,steal_data,G0016,high,ctid_blurb+attack_group:G0016,APT29 supply-chain espionage (C0024); reaches exfil structurally; classic espionage data theft
sony_malware,Sony Malware,malware,18,T1047;T1491;T1561;T1574,execution;impact;privilege-escalation,false,true,impediment,G0032,high,ctid_blurb+attack_group:G0032,Lazarus 2014 Sony attack — 'destructive wiper attack on Sony Pictures Entertainment' (ATT&CK G0032)
swift_heist,SWIFT Heist,incident,11,T1105;T1190;T1562;T1566,command-and-control;initial-access;stealth,false,false,steal_data,G0082,high,ctid_blurb+attack_group:G0082,APT38 SWIFT heist — financial theft (stolen money via fraudulent transfers); structurally no exfil/impact terminal — TRUNCATED
target_breach,Target Breach,incident,17,T1029;T1095;T1105;T1505;T1566;T1592;T1593,command-and-control;exfiltration;initial-access;persistence;reconnaissance,true,false,steal_data,unknown,high,ctid_blurb+in_flow_only,Canonical 2013 PoS breach — payment-card exfiltration
tesla_kubernetes_breach,Tesla Kubernetes Breach,incident,9,T1496;T1530,collection;impact,false,true,impediment,unknown,high,ctid_blurb+in_flow_only,Cryptomining attack — XMRig-style resource hijacking on K8s; reaches impact structurally
toolshell_vulnerability_in_sharepoint,ToolShell Vulnerability in Sharepoint,campaign,15,T1041,exfiltration,true,false,steal_data,unknown,high,ctid_blurb+ctid_flow_narrative+vendor:unit42.paloaltonetworks.com,"Re-audited 2026-08-17: low->high. The flow file contains NO ransomware/impact action — the 4L4MD4R half exists only in vendor coverage; CTID blurb ""leads to remote code execution and credential theft""; analyst nodes: MachineKey extraction -> Exfiltration Over C2 Channel (x3) -> ViewState persistence; Unit 42 attributes MachineKey exfil to CL-CRI-1040. The (h)1 flow-split premise is falsified"
turla_carbon_emulation_plan,Turla - Carbon Emulation Plan,emulation-plan,81,T1003;T1007;T1018;T1056;T1189;T1547;T1550;T1566;T1570;T1574,collection;credential-access;discovery;initial-access;lateral-movement;persistence;privilege-escalation,false,false,steal_data,G0010,high,ctid_blurb+attack_group:G0010,CTID blurb explicitly: 'provides data exfiltration capabilities'; G0010 Turla = cyber-espionage
turla_snake_emulation_plan,Turla - Snake Emulation Plan,emulation-plan,74,T1003;T1018;T1041;T1049;T1087;T1114;T1543;T1547;T1569,collection;credential-access;discovery;execution;exfiltration;persistence,true,false,steal_data,G0010,high,ctid_blurb+attack_group:G0010,CTID blurb explicitly: 'rootkit used to compromise computers and exfiltrate data'; G0010 Turla
uber_breach,Uber Breach,incident,8,T1552;T1555;T1586;T1621,credential-access;resource-development,false,false,steal_data,G1004?,high,ctid_blurb+ctid_flow_narrative+attack_group:G1004+vendor:uber.com,"Re-audited 2026-08-17: medium->high. Analyst node ""Attacker exfiltrated internal Slack messages and information from a finance tool"" (tactic-only, invisible to L1); G1004 = data theft + extortion ""without the use of ransomware""; Uber: ""downloaded some internal Slack messages ... accessed or downloaded information from an internal tool our finance team uses""; no encryption/destruction. Attribution stays G1004? (objective does not depend on it)"
whispergate,WhisperGate,campaign,19,T1105;T1529;T1542,command-and-control;impact;stealth,false,true,impediment,G0034,high,ctid_blurb+attack_group:G0034,Russian state-sponsored wiper targeting Ukraine; CTID blurb explicit
